"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","subject_id","response","choice_outcomes","context_n","context_img_id","trial_n","probe_img_id","pR_red","pR_white","pR_black","outcome","contextArray_ind","validImageProbes","invalidImageProbes","pRew_Red","pRew_White","pRew_Black","invalidProbeTrials","availableForMemProbe","choice_blocks"
"","do_travel","70","136675","0.0-51.0-0.0","null","","","","null","","","","","","","","","","","","","","","","","",""
"","do_welcome","71","138183","0.0-51.0-1.0","null","","","","null","","","","","","","","","","","","","","","","","",""
"","do_trial","72","143197","0.0-52.0-0.0","465.02000000327826","","","","50","0,0,0","4","highway","8","probe-177","0.8823096989760053","0.510795016082874","0.0990917045369304","0","","","","","","","","",""
"","do_trial","73","148099","0.0-53.0-0.0","352.53500001272187","","","","49","1,0,0","4","highway","9","probe-53","0.7736254804440991","0.4031724996106756","0.05974544713024207","1","","","","","","","","",""
"","do_bye","74","149608","0.0-54.0-0.0","null","","","","null","","","","","","","","","","","","","","","","","",""
"","do_travel","75","155610","0.0-55.0-0.0","null","","","","null","","","","","","","","","","","","","","","","","",""
"","do_welcome","76","157118","0.0-55.0-1.0","null","","","","null","","","","","","","","","","","","","","","","","",""
"","do_trial","77","163171","0.0-56.0-0.0","null","","","","null","1,1,0","5","city","10","probe-22","0.7718290907586217","0.5112413163841345","0.09668862263306151","","","","","","","","","",""
"","do_trial","78","168393","0.0-57.0-0.0","675.1950000179932","","","","50","1,0,1","5","city","11","probe-125","0.7320542081689608","0.5483732541034422","0.23630633134231407","0","","","","","","","","",""
"","do_bye","79","169903","0.0-58.0-0.0","null","","","","null","","","","","","","","","","","","","","","","","",""
