"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","subject_id","response","choice_outcomes","context_n","context_img_id","trial_n","probe_img_id","pR_red","pR_white","pR_black","outcome","contextArray_ind","validImageProbes","invalidImageProbes","pRew_Red","pRew_White","pRew_Black","availableForMemProbe","choice_blocks"
"","html-keyboard-response","46","269270","0.0-31.0-1.0","4075.470000039786","<div class='center'><p>A pirate will always be equally successful at robbing ships in each place</p><p>Press 1 for true and press  2 for false.</p></div>","50","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","47","270288","0.0-32.0-0.0","1016.2049999926239","<br><br><br><br><p>That's correct!</p> <p><b>[press the space bar to continue with the quiz]</b></p>","32","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","48","272888","0.0-32.0-1.0","2599.6099999174476","<div class='center'><p>You should remember the place where a pirate robbed a ship.</p><p>Press 1 for true and press  2 for false.</p></div>","49","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","49","273654","0.0-33.0-0.0","754.3649999424815","<br><br><br><br><p>That's correct!</p> <p><b>[press the space bar to continue with the quiz]</b></p>","32","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","50","278081","0.0-34.0-0.0","4424.399999901652","<br><br><br><br><p>Good job! You’re now ready to move on to the real game!</p> <p><br>[press the space bar to begin!]</br></p>","32","","","","","","","","","","","","","","","","","","",""
"","do_welcome","51","279589","0.0-35.0-0.0","null","","","","null","","","","","","","","","","","","","","","","",""
"","do_trial","52","285349","0.0-36.0-0.0","1206.6699999850243","","","","50","1,0,0","0","coast","0","probe-69","1","0.4","0.1","0","","","","","","","",""
"","do_trial","53","291107","0.0-37.0-0.0","1203.8699998520315","","","","49","1,1,0","0","coast","1","probe-22","1","0.6034791910671085","0.08447400860158831","1","","","","","","","",""
"","do_trial","54","297497","0.0-38.0-0.0","1837.44000014849","","","","51","1,1,0","0","coast","2","probe-239","1","0.5827389882313708","0.0909408463374852","0","","","","","","","",""
"","do_trial","55","304891","0.0-39.0-0.0","2843.0399999488145","","","","49","1,0,0","0","coast","3","probe-02","1","0.3786049065251303","0.09797220793496106","1","","","","","","","",""
"","do_trial","56","311965","0.0-40.0-0.0","2521.3299999013543","","","","50","1,0,0","0","coast","4","probe-191","0.8754267457743875","0.4005181184199124","0.10710266309868288","0","","","","","","","",""
"","do_trial","57","316910","0.0-41.0-0.0","392.7850001491606","","","","49","1,1,0","0","coast","5","probe-135","0.8248601399795665","0.3731626582103095","0.15340393603066088","1","","","","","","","",""
"","do_trial","58","322435","0.0-42.0-0.0","977.1650000475347","","","","49","0,0,0","0","coast","6","probe-124","0.7227052417976835","0.3886150239183385","0.15338083436674085","0","","","","","","","",""
"","do_trial","59","327411","0.0-43.0-0.0","428.46999992616475","","","","51","1,0,0","0","coast","7","probe-133","0.6072087488445743","0.46782410023854964","0.09431150790969561","0","","","","","","","",""
